iso3,year,mu,sigma,n,N_s,N_r,cj_ratio,real_gdp,inflation,unemployment,population,intrest,market_cap,elec_dem,lib_dem
OMN,2016,0.000352472470634994,0.444543885159744,191,100,91,1.0989010989011,34632,110.979202270508,3.26600003242493,4.41400003433228,2.01099991798401,23285264254.1005,0.175,0.144
OMN,2017,-0.000708597139939029,0.00480594811927378,192,93,99,0.939393939393939,34737,112.597229003906,,4.55999994277954,2.81399989128113,21298880000,0.174,0.142
OMN,2018,-0.000814215529720321,0.00516347835302152,190,98,92,1.06521739130435,35184,113.389801025391,1.79999995231628,4.60200023651123,,18782400000,0.174,0.142
OMN,2019,-0.000436719935462734,0.00549662843228264,189,105,84,1.25,34787,113.924980163574,4.14200019836426,4.61800003051758,,17119480000,0.175,0.144
OMN,2020,-0.000437584063049053,0.00910052832182874,193,102,91,1.12087912087912,33611,113.47484588623,2.94000005722046,4.44500017166138,,16480520000,0.173,0.138
PER,1997,0.000369245930735554,0.013413749239424,186,94,92,1.02173913043478,214028,68.7490234375,8.60000038146973,25.1450004577637,15.9379558563232,15495960000,0.365,0.126
PER,1998,-0.001215446963948,0.0160869049638385,242,137,105,1.3047619047619,213190,73.7364654541016,6.90000009536743,25.5930004119873,18.7164459228516,9868500000,0.353,0.121
PER,1999,0.00130767397669818,0.00999601036365696,243,128,115,1.11304347826087,216377,76.2954406738281,9.39999961853027,26.0139999389648,17.7999992370605,12091970000,0.353,0.121
PER,2000,-0.00170632472051996,0.0102856891847328,245,118,127,0.929133858267716,222208,79.1622314453125,7.84700012207031,26.3899993896484,14,9749910000,0.418,0.189
PER,2001,-0.000112622211539756,0.00815905655408225,238,115,123,0.934959349593496,223579,80.7268371582031,9.24600028991699,26.7150001525879,5,9790330000,0.728,0.568
PER,2002,0.00070680084482678,0.00753166156137137,238,124,114,1.08771929824561,235773,80.8814544677735,9.41300010681152,26.9990005493164,4.5,11441440000,0.797,0.649
PER,2003,0.0023014123894543,0.00703352411801226,243,118,125,0.944,245592,82.7098999023438,9.42800045013428,27.2549991607666,2.5,14125030000,0.797,0.654
PER,2004,0.00173322536580438,0.0104493577854756,243,121,122,0.991803278688525,257771,85.738395690918,9.4350004196167,27.492000579834,3,18073730000,0.795,0.653
PER,2005,0.00105716227314851,0.0103179626029974,244,122,122,1,273971,87.1256942749024,9.58300018310547,27.7220001220703,3.25,24139720000,0.795,0.66
PER,2006,0.00406138770186057,0.0155805271042009,243,117,126,0.928571428571429,294598,88.869026184082,8.52700042724609,27.9349994659424,4.5,40021560000,0.793,0.653
